device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
234,D1299 SP1 L1 / UMG801-4700-1575 / Device-234,Basic Device of UMG801,47001575,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1299,SP1,L1
235,D1299 SP1 L1 / Mod1,,48004222,Janitza800-CT8-A,800-CT8-A,D1299,SP1,L1
236,D1299 SP1 L1 / Mod1 / Device-236,Mod. 1,48004222,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1299,SP1,L1
237,D1299 SP1 L1 / Mod1 / Device-237,Mod. 1,48004222,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1299,SP1,L1
238,D1411 SP1 L1,D1411 Hafnarbraut 27 SP1 L1,47001622,JanitzaUMG801,UMG 801,D1411,SP1,L1
239,D1411 SP1 L1 / UMG801-4700-1622,,47001622,JanitzaUMG801BaseModule,UMG801BaseModule,D1411,SP1,L1
240,D1411 SP1 L1 / UMG801-4700-1622 / Device-240,Basic Device of UMG801,47001622,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1411,SP1,L1
241,D1411 SP1 L1 / UMG801-4700-1622 / Device-241,Basic Device of UMG801,47001622,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1411,SP1,L1
242,D1411 SP1 L1 / UMG801-4700-1622 / Device-242,Basic Device of UMG801,47001622,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1411,SP1,L1
243,D1411 SP1 L1 / Mod 1,,48004220,Janitza800-CT8-A,800-CT8-A,D1411,SP1,L1
244,D1411 SP1 L1 / Mod 1 / Device-244,Mod. 1,48004220,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1411,SP1,L1
245,D1411 SP1 L1 / Mod 1 / Device-245,Mod. 1,48004220,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1411,SP1,L1
246,D0176 SP2 L1,D0176 Tannlæknagarður SP2 L1,47002673,JanitzaUMG801,UMG 801,D0176,SP2,L1
247,D0176 SP2 L1 / UMG801-4700-2673,,47002673,JanitzaUMG801BaseModule,UMG801BaseModule,D0176,SP2,L1
248,D0176 SP2 L1 / UMG801-4700-2673 / Measurement Group 1,Basic Device of UMG801,47002673,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0176,SP2,L1
249,D0176 SP2 L1 / UMG801-4700-2673 / Measurement Group 2,Basic Device of UMG801,47002673,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0176,SP2,L1
250,D0176 SP2 L1 / UMG801-4700-2673 / Measurement Group 3,Basic Device of UMG801,47002673,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0176,SP2,L1
251,D0173 SP1 L1,D0173 Arngrímsgata 1 SP1 L1,47002803,JanitzaUMG801,UMG 801,D0173,SP1,L1
252,D0173 SP1 L1 / UMG801-4700-2803,,47002803,JanitzaUMG801BaseModule,UMG801BaseModule,D0173,SP1,L1
253,D0173 SP1 L1 / UMG801-4700-2803 / Measurement Group 1,Basic Device of UMG801,47002803,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0173,SP1,L1
254,D0173 SP1 L1 / UMG801-4700-2803 / Measurement Group 2,Basic Device of UMG801,47002803,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0173,SP1,L1
255,D0173 SP1 L1 / UMG801-4700-2803 / Measurement Group 3,Basic Device of UMG801,47002803,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0173,SP1,L1
256,D0173 SP1 L1 / Mod1,,48007039,Janitza800-CT8-A,800-CT8-A,D0173,SP1,L1
257,D0173 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48007039,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0173,SP1,L1
258,D0173 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48007039,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0173,SP1,L1
259,D0006 SP2 L1,D0006 Grettisgata 6 SP2 L1,47002328,JanitzaUMG801,UMG 801,D0006,SP2,L1
260,D0006 SP2 L1 / UMG801-4700-2328,,47002328,JanitzaUMG801BaseModule,UMG801BaseModule,D0006,SP2,L1
261,D0006 SP2 L1 / UMG801-4700-2328 / Measurement Group 1,Basic Device of UMG801,47002328,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
262,D0006 SP2 L1 / UMG801-4700-2328 / Measurement Group 2,Basic Device of UMG801,47002328,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
263,D0006 SP2 L1 / UMG801-4700-2328 / Measurement Group 3,Basic Device of UMG801,47002328,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
264,D0006 SP2 L1 / Mod. 1,Mod. 1,48006444,Janitza800-CT8-A,800-CT8-A,D0006,SP2,L1
265,D0006 SP2 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48006444,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
266,D0006 SP2 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48006444,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
267,D0006 SP2 L1 / Mod. 2,Mod. 2,48007062,Janitza800-CT8-A,800-CT8-A,D0006,SP2,L1
268,D0006 SP2 L1 / Mod. 2 / Measurement Group 1,Mod. 2,48007062,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
269,D0006 SP2 L1 / Mod. 2 / Measurement Group 2,Mod. 2,48007062,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0006,SP2,L1
270,D0615 SP1 L1,D0615 Kalkofnsvegur 3 SP1 L1,47002818,JanitzaUMG801,UMG 801,D0615,SP1,L1
271,D0615 SP1 L1 / UMG801-4700-2818,,47002818,JanitzaUMG801BaseModule,UMG801BaseModule,D0615,SP1,L1
272,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 1,Basic Device of UMG801,47002818,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0615,SP1,L1
273,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 2,Basic Device of UMG801,47002818,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0615,SP1,L1
274,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 3,Basic Device of UMG801,47002818,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0615,SP1,L1
275,D0615 SP1 L1 / Mod 1,,48007226,Janitza800-CT8-A,800-CT8-A,D0615,SP1,L1
276,D0615 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48007226,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0615,SP1,L1
277,D0615 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48007226,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0615,SP1,L1
278,D1508 SP1 L1,D1508 Háholt 1508 SP1 L1,47002016,JanitzaUMG801,UMG 801,D1508,SP1,L1
279,D1508 SP1 L1 / UMG801-4700-2016,,47002016,JanitzaUMG801BaseModule,UMG801BaseModule,D1508,SP1,L1
280,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 1,Basic Device of UMG801,47002016,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1508,SP1,L1
281,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 2,Basic Device of UMG801,47002016,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1508,SP1,L1
282,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 3,Basic Device of UMG801,47002016,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1508,SP1,L1
283,D1379 SP1 L1,D1379 Desjamýri 13A SP L1,47002676,JanitzaUMG801,UMG 801,D1379,SP1,L1
284,D1379 SP1 L1 / UMG801-4700-2676,,47002676,JanitzaUMG801BaseModule,UMG801BaseModule,D1379,SP1,L1
285,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 1,Basic Device of UMG801,47002676,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1379,SP1,L1
286,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 2,Basic Device of UMG801,47002676,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1379,SP1,L1
287,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 3,Basic Device of UMG801,47002676,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1379,SP1,L1
288,D1379 SP1 L1 / Mod1,,48007032,Janitza800-CT8-A,800-CT8-A,D1379,SP1,L1
289,D1379 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48007032,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1379,SP1,L1
290,D1379 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48007032,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1379,SP1,L1
291,D0383 SP1 L1,D0383 Holtagerði 33 SP1 L1,47002318,JanitzaUMG801,UMG 801,D0383,SP1,L1
292,D0383 SP1 L1 / UMG801-4700-2318,,47002318,JanitzaUMG801BaseModule,UMG801BaseModule,D0383,SP1,L1
293,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 1,Basic Device of UMG801,47002318,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0383,SP1,L1
294,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 2,Basic Device of UMG801,47002318,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0383,SP1,L1
295,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 3,Basic Device of UMG801,47002318,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0383,SP1,L1
