device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
314,D0613 SP2 L1 / Mod 1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,240.93893584316064,240.0775176841582,240.69583679241055,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0015304120832737899,0.19060003990441302
317,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,100.9472371749168,76.28066880599424,59.09860126554789,236.2798984116996,235.66141333012752,235.92525689428888,32.96917289500292,Input04,Input01,Input02,Input03,L1,L2,L3,9.381823062407527,17.70797376771875,0.09381823062407527,36.43467694064344,0.19851473379057014,0.1354944090193106,0.0013747316826359223,0.22396018708251683
318,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,1.0898626018566788,236.2798984116996,235.66141333012752,235.92525689428888,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,66.66666666666666,100.0,0.6666666666666666,1.0898626018566788,,,0.0013747316826359223,0.22396018708251683
321,D1454 SP1 L1 / Mod 1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,12.156407651564741,0.0,0.0,236.2798984116996,235.66141333012752,235.92525689428888,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,66.66666666666667,100.0,0.6666666666666667,12.156407651564741,,,0.0013747316826359223,0.22396018708251683
322,D1454 SP1 L1 / Mod 1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,236.2798984116996,235.66141333012752,235.92525689428888,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0013747316826359223,0.22396018708251683
323,D1534 SP1 L1,2024-11-01 12:00,2025-11-01 12:00,15m,255.69878442636286,255.19541548410757,255.1783394243841,415.83587092552483,415.39112958978467,415.6792292223479,0.00025359544122714153,L4,L1,L2,L3,L1,L2,L3,0.04454817229723045,0.06793677821040939,0.00044548172297230454,0.5121205346239961,0.0014737871215544478,0.002124039962658458,0.0004823001317778596,
324,D1534 SP2 L1,2024-11-01 12:00,2025-11-01 12:00,15m,251.43603605513363,256.2287987281677,256.0580612785326,415.8500187961685,415.38515051871514,415.65330494388206,0.0002575084721892867,L4,L1,L2,L3,L1,L2,L3,0.4109164002188382,0.6275525714559743,0.002166361712371361,4.709715622120171,0.0022676428752750766,0.010829054315161854,0.0005305864505109245,
328,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,113.89055188271813,95.42458273472444,102.35749878225505,236.46465701237832,235.87048833628342,236.0645247372714,14.484633216218297,Input04,Input01,Input02,Input03,L1,L2,L3,3.2083901540354587,5.924796459210591,0.032083901540354585,16.15655680079865,0.08285809490517514,0.057794120870394775,0.0014035875413115617,0.15987171631293937
329,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,13.91966390648883,53.03614935410954,0.0,236.46465701237832,235.87048833628342,236.0645247372714,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,45.87733825941966,79.21067159275299,0.4587733825941966,47.627143601915414,,,0.0014035875413115617,0.15987171631293937
331,D1551 SP1 L1,2024-11-01 12:00,2025-11-01 12:00,15m,43.68417385725886,42.49219562403502,46.09581684590625,235.37757385294094,235.33177931158383,235.26026314993715,,,L1,L2,L3,L1,L2,L3,1.5158803417771534,2.7243983198077597,0.015158803417771533,3.1798521918394473,,,0.00023103720130668797,
